Number,Name,Type1,Type2,Pokedex,Label,Label_adjusted
11,Metapod,Bug,,this is vulnerable to attack while its shell is soft exposing its weak and tender body hardens its shell to protect itself however a large impact may cause it to pop out of its shell inside the shell it is soft and weak as it prepares to evolve it stays motionless in the shell it prepares for evolution by hardening its shell as much as possible to protect its soft body this is its pre evolved form at this stage it can only harden so it remains motionless to avoid attack the shell covering this body is as hard as an iron slab does not move very much it stays still because it is preparing its soft innards for evolution inside the hard shell even though it is encased in a sturdy shell the body inside is tender it can t withstand a harsh attack this is vulnerable to attack while its shell is soft exposing its weak and tender body its shell is as hard as an iron slab a does not move very much because it is preparing its soft innards for evolution inside the shell a steel hard shell protects its tender body it quietly endures hardships while awaiting evolution inside the shell it is soft and weak as it prepares to evolve it stays motionless in the shell it prepares for evolution by hardening its shell as much as possible to protect its soft body a steel hard shell protects its tender body it quietly endures hardships while awaiting evolution a steel hard shell protects its tender body it quietly endures hardships while awaiting evolution this is vulnerable to attack while its shell is soft exposing its weak and tender body the shell covering this body is as hard as an iron slab does not move very much it stays still because it is preparing its soft innards for evolution inside the hard shell its shell is filled with its soft innards it doesn t move much because of the risk it might carelessly spill its innards out its shell is hard but it is still just a bug shell it is been known to break so intense battles with it should be avoided its shell is filled with a thick liquid all of the cells throughout its body are being rebuilt in preparation for evolution its hard shell doesn t crack a bit even if pecks at it but it will tip over spilling out its insides hardens its shell to protect itself however a large impact may cause it to pop out of its shell it is waiting for the moment to evolve at this stage it can only harden so it remains motionless to avoid attack even though it is encased in a sturdy shell the body inside is tender it can t withstand a harsh attack a steel hard shell protects its tender body the quietly endures hardships while awaiting evolution,0,0
12,Butterfree,Bug,Flying,in battle it flaps its wings at high speed to release highly toxic dust into the air its wings covered with poisonous powders repel water this allows it to fly in the rain it collects honey every day it rubs honey onto the hairs on its legs to carry it back to its nest water repellent powder on its wings enables it to collect honey even in the heaviest of rains it flits from flower to flower collecting honey it can even identify distant flowers in bloom has a superior ability to search for delicious honey from flowers it can even search out extract and carry honey from flowers that are blooming over six miles from its nest the wings are protected by rain repellent dust as a result this can fly about even in rain in battle it flaps its wings at great speed to release highly toxic dust into the air it has a superior ability to search for delicious honey from flowers it can seek extract and carry honey from flowers blooming over six miles away it loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen it collects honey every day it rubs honey onto the hairs on its legs to carry it back to its nest water repellent powder on its wings enables it to collect honey even in the heaviest of rains it loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen it loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen the wings are protected by rain repellent dust as a result this can fly about even in rain has a superior ability to search for delicious honey from flowers it can even search out extract and carry honey from flowers that are blooming over six miles from its nest close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes when attacked by other it defends itself by scattering its poisonous scales and fluttering its wings its wings are covered in toxic scales if it finds bird going after sprinkles its scales on them to drive them off nectar from pretty flowers is its favorite food in fields of flowers it has heated battles with for territory its wings covered with poisonous powder repel water this allows it to fly in the rain in battle it flaps its wings at great speed to release highly toxic dust into the air it collects honey every day it rubs honey onto the hairs on its legs to carry it back to its nest it loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen crystallized gigantamax energy makes up this blindingly bright and highly toxic scales once it has opponents trapped in a tornado that could blow away a ton truck it finishes them off with its poisonous scales,0,0
13,Weedle,Bug,Poison,often found in forests eating leaves it has a sharp venomous stinger on its head beware of the sharp stinger on its head it hides in grass and bushes where it eats leaves its poison stinger is very powerful its bright colored body is intended to warn off its enemies it attacks using a two inch poison barb on its head it can usually be found under the leaves it eats the barb on top of its head secretes a strong poison it uses this toxic barb to protect itself has an extremely acute sense of smell it is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis nose often found in forests and grasslands it has a sharp toxic barb of around two inches on top of its head often found in forests eating leaves it has a sharp stinger on its head that injects poison a has an extremely acute sense of smell it distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis nose it eats its weight in leaves every day it fends off attackers with the needle on its head its poison stinger is very powerful its bright colored body is intended to warn off its enemies it attacks using a two inch poison barb on its head it can usually be found under the leaves it eats it eats its weight in leaves every day it fends off attackers with the needle on its head often found in forests and grasslands it has a sharp toxic barb of around two inches on top of its head its poison stinger is very powerful its bright colored body is intended to warn off its enemies has an extremely acute sense of smell it is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis nose beware of the sharp stinger on its head it hides in grass and bushes where it eats leaves it eats its weight in leaves every day it fends off attackers with the needle on its head,0,0
14,Kakuna,Bug,Poison,almost incapable of moving this can only harden its shell to protect itself from predators able to move only slightly when endangered it may stick out its stinger and poison its enemy although it is a cocoon it can move a little it can extend its poison barb if it is attacked from this form it will grow into an adult as its body becomes softer the external shell hardens nearly incapable of movement it leans against stout trees while waiting for its evolution remains virtually immobile as it clings to a tree however on the inside it is extremely busy as it prepares for its coming evolution this is evident from how hot the shell becomes to the touch this is in a temporary stage while making its body it is almost completely unable to move on its own almost incapable of moving this can only harden its shell to protect itself when it is in danger it remains virtually immobile while it clings to a tree however on the inside it busily prepares for evolution this is evident from how hot its shell becomes while awaiting evolution it hides from predators under leaves and in nooks of branches although it is a cocoon it can move a little it can extend its poison barb if it is attacked from this form it will grow into an adult as its body becomes softer the external shell hardens while awaiting evolution it hides from predators under leaves and in nooks of branches almost incapable of moving this can only harden its shell to protect itself when it is in danger while awaiting evolution it hides from predators under leaves and in nooks of branches remains virtually immobile as it clings to a tree however on the inside it is extremely busy as it prepares for its coming evolution this is evident from how hot the shell becomes to the touch able to move only slightly when endangered it may stick out its stinger and poison its enemy while awaiting evolution it hides from predators under leaves and in nooks of branches,0,0
15,Beedrill,Bug,Poison,flies at high speed and attacks using its large venomous stingers on its forelegs and tail it has poisonous stingers on its forelegs and its tail they are used to jab its enemy repeatedly it can take down any opponent with its powerful poison stingers it sometimes attacks in swarms it has three poison barbs the barb on its tail secretes the most powerful poison it uses sharp poisonous stings to defeat prey then takes the victim back to its nest for food is extremely territorial no one should ever approach its nest this is for their own safety if angered they will attack in a furious swarm may appear in a swarm flies at violent speeds all the while stabbing with the toxic stinger on its rear it flies at high speed and attacks using the large venomous stingers on its forelegs and tail a is extremely territorial for safety reasons no one should ever approach its nest if angered they will attack in a swarm its best attack involves flying around at high speed striking with poison needles then flying off it can take down any opponent with its powerful poison stingers it sometimes attacks in swarms it has three poison barbs the barb on its tail secretes the most powerful poison its best attack involves flying around at high speed striking with poison needles then flying off it has three poisonous stingers on its forelegs and its tail they are used to jab its enemy repeatedly may appear in a swarm flies at violent speeds all the while stabbing with the toxic stinger on its rear is extremely territorial no one should ever approach its nestthis is for their own safety if angered they will attack in a furious swarm it has three poisonous stingers on its forelegs and its tail they are used to jab its enemy repeatedly its best attack involves flying around at high speed striking with poison needles then flying off its legs have become poison stingers it stabs its prey repeatedly with the stingers on its limbs dealing the final blow with the stinger on its rear,0,0
16,Pidgey,Normal,Flying,a common sight in forests and woods it flaps its wings at ground level to kick up blinding sand very docile if attacked it will often kick up sand to protect itself rather than fight back it usually hides in tall grass because it dislikes fighting it protects itself by kicking up sand common in grassy areas and forests it is very docile and will chase off enemies by flapping up sand it rapidly flaps its wings in the grass stirring up a dust cloud that drives insect prey out into the open has an extremely sharp sense of direction it is capable of unerringly returning home to its nest however far it may be removed from its familiar surroundings does not like to fight it hides in tall grass and so on foraging for food such as small bugs a common sight in forests and woods it flaps its wings at ground level to kick up blinding sand it has an extremely sharp sense of direction it can unerringly return home to its nest however far it may be removed from its familiar surroundings it is docile and prefers to avoid conflict if disturbed however it can ferociously strike back it usually hides in tall grass because it dislikes fighting it protects itself by kicking up sand common in grassy areas and forests it is very docile and will chase off enemies by flapping up sand it is docile and prefers to avoid conflict if disturbed however it can ferociously strike back a common sight in forests and woods it flaps its wings at ground level to kick up blinding sand it is docile and prefers to avoid conflict if disturbed however it can ferociously strike back has an extremely sharp sense of direction it is capable of unerringly returning home to its nest however far it may be removed from its familiar surroundings very docile if attacked it will often kick up sand to protect itself rather than fight back it is docile and prefers to avoid conflict if disturbed however it can ferociously strike back,12,7
17,Pidgeotto,Normal,Flying,very protective of its sprawling territorial area this will fiercely peck at any intruder this is full of vitality it constantly flies around its large territory in search of prey it has outstanding vision however high it flies it is able to distinguish the movements of its prey it immobilizes its prey using well developed claws then carries the prey more than miles to its nest it slowly flies in a circular pattern all the while keeping a sharp lookout for prey claims a large area as its own territory this flies around patrolling its living space if its territory is violated it shows no mercy in thoroughly punishing the foe with its sharp claws the claws on its feet are well developed it can carry prey such as an to its nest over miles away very protective of its sprawling territorial area this will fiercely peck at any intruder this flies around patrolling its large territory if its living space is violated it shows no mercy in thoroughly punishing the foe with its sharp claws it flies over its wide territory in search of prey downing it with its highly developed claws it has outstanding vision however high it flies it is able to distinguish the movements of its prey it renders its prey immobile using well developed claws then carries the prey more than miles to its nest it flies over its wide territory in search of prey downing it with its highly developed claws the claws on its feet are well developed it can carry prey such as an to its nest over miles away very protective of its sprawling territorial area this will fiercely peck at any intruder claims a large area as its own territory this flies around patrolling its living space if its territory is violated it shows no mercy in thoroughly punishing the foe with its sharp claws this is full of vitality it constantly flies around its large territory in search of prey it flies over its wide territory in search of prey downing it with its highly developed claws,12,7
18,Pidgeot,Normal,Flying,when hunting it skims the surface of water at high speed to pick off unwary prey such as this flies at mach speed seeking prey its large talons are feared as wicked weapons its well developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps it spreads its beautiful wings wide to frighten its enemies it can fly at mach speed its outstanding vision allows it to spot splashing even while flying at feet this has a dazzling plumage of beautifully glossy feathers many trainers are captivated by the striking beauty of the feathers on its head compelling them to choose as their it spreads its gorgeous wings widely to intimidate enemies it races through the skies at mach speed when hunting it skims the surface of water at high speed to pick off unwary prey such as this has gorgeous glossy feathers many trainers are so captivated by the beautiful feathers on its head that they choose as their by flapping its wings with all its might can make a gust of wind capable of bending tall trees its well developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps it spreads its beautiful wings wide to frighten its enemies it can fly at mach speed by flapping its wings with all its might can make a gust of wind capable of bending tall trees when hunting it skims the surface of water at high speed to pick off unwary prey such as it spreads its gorgeous wings widely to intimidate enemies it races through the skies at mach speed this has a dazzling plumage of beautifully glossy feathers many trainers are captivated by the striking beauty of the feathers on its head compelling them to choose as their this flies at mach speed seeking prey its large talons are feared as wicked weapons by flapping its wings with all its might can make a gust of wind capable of bending tall trees with its muscular strength now greatly increased it can fly continuously for two weeks without resting,12,7
19,Rattata,Normal,,bites anything when it attacks small and very quick it is a common sight in many places will chew on anything with its fangs if you see one it is certain that more live in the area it eats anything wherever food is available it will settle down and produce offspring continuously living wherever there is food available it ceaselessly scavenges for edibles the entire day this impressive vitality allows it to live anywhere it also multiplies very quickly is cautious in the extreme even while it is asleep it constantly listens by moving its ears around it is not picky about where it lives it will make its nest anywhere its fangs are long and very sharp they grow continuously so it gnaws on hard things to whittle them down bites anything when it attacks small and very quick it is a common sight in many places a is cautious in the extreme even while it is asleep it constantly moves its ears and listens for danger it will make its nest anywhere cautious in the extreme its hardy vitality lets it live in any kind of environment it eats anything wherever food is available it will settle down and produce offspring continuously living wherever there is food available it ceaselessly scavenges for edibles the entire day cautious in the extreme its hardy vitality lets it live in any kind of environment it searches for food all day it gnaws on hard objects to wear down its fangs which grow constantly during its lifetime living wherever there is food available it ceaselessly scavenges for edibles the entire day its fangs are long and very sharp they grow continuously so it gnaws on hard things to whittle them down is cautious in the extreme even while it is asleep it constantly listens by moving its ears around it is not picky about where it livesit will make its nest anywhere its incisors continue growing until its death if its trainer doesn t offer it a file to gnaw on it will gnaw on door frames table legs and so on with their strong capacity for survival they can live in dirty places without concern left unchecked their numbers multiply rapidly its incisors grow continuously throughout its life if its incisors get too long this becomes unable to eat and it starves to death this is common but hazardous its sharp incisors can easily cut right through hard wood will chew on anything with its fangs if you see one you can be certain that more live in the area it is cautious in the extreme and its hardy vitality lets it live in any kind of environment with its incisors it gnaws through doors and infiltrates people homes then with a twitch of its whiskers it steals whatever food it finds when the sun goes down it becomes active it runs around town on a chase for good food for the boss of its nest it shows no interest in anything that isn t fresh if you take it shopping with you it will help you pick out ingredients night after night they sneak into people homes seeking food a massive outbreak of them has become an issue of public concern its whiskers provide it with a keen sense of smell enabling it to pick up the scent of hidden food and locate it instantly,12,12
20,Raticate,Normal,,it uses its whiskers to maintain its balance it apparently slows down if they are cut off its hind feet are webbed they act as flippers so it can swim in rivers and hunt for prey gnaws on anything with its tough fangs it can even topple concrete buildings by gnawing on them its whiskers help it to maintain balance its fangs never stop growing so it gnaws to pare them down the webs on its hind legs enable it to cross rivers it searches wide areas for food sturdy fangs grow steadily to keep them ground down it gnaws on rocks and logs it may even chew on the walls of houses its rear feet have three toes each they are webbed enabling it to swim across rivers it uses its whiskers to maintain its balance it apparently slows down if they are cut off a sturdy fangs grow steadily to keep them ground down it gnaws on rocks and logs it may even chew on the walls of houses it whittles its constantly growing fangs by gnawing on hard things it can chew apart cinder walls gnaws on anything with its tough fangs it can even topple concrete buildings by gnawing on them its whiskers help it to maintain balance its fangs never stop growing so it gnaws to pare them down it whittles its constantly growing fangs by gnawing on hard things it can chew apart cinder walls with its long fangs this surprisingly violent can gnaw away even thick concrete with ease it whittles its constantly growing fangs by gnawing on hard things it can chew apart cinder walls the webs on its hind legs enable it to cross rivers it searches wide areas for food sturdy fangs grow steadily to keep them ground down it gnaws on rocks and logs it may even chew on the walls of houses its hind feet are webbed so it is a strong swimmer it can cross rivers and sometimes even oceans its disposition is far more violent than its looks would suggest don t let your hand get too close to its face as it could bite your hand clean off people say that it fled from its enemies by using its small webbed hind feet to swim from island to island in alola its whiskers are essential for maintaining its balance no matter how friendly you are it will get angry and bite you if you touch its whiskers its hind feet are webbed they act as flippers so it can swim in rivers and hunt for prey it whittles down its constantly growing fangs by gnawing on hard things it can chew apart cinder block walls it forms a group of which it assumes command of each group has its own territory and disputes over food happen often this gourmet is particular about the taste and freshness of its food restaurants where live have a good reputation it has an incredibly greedy personality its nest is filled with so much food gathered by at its direction it can t possibly eat it all it commands a nest of different nests don t get along whipping up severe fights over feeding grounds it makes its underlings gather food for it dining solely on the most nutritious and delicious fare,12,12
